,        Gross domestic product,Exports of goods and services and income receipts (credits),Imports of goods and services and income payments (debits),Net U.S. acquisition of financial assets excluding financial derivatives (net increase in assets / financial outflow (+)),  Direct investment assets,  Portfolio investment assets,Net U.S. incurrence of liabilities excluding financial derivatives (net increase in liabilities / financial inflow (+)),  Direct investment liabilities,  Portfolio investment liabilities
,6566.6,189402,204104,20709,12296,20235,42070,10037,8371
,6680.8,190635,209422,30547,9515,20654,50843,6293,30165
1993,6729.5,192660,207435,26668,20159,23499,29708,13237,26548
,6808.9,194828,215506,48236,25657,27339,60992,13779,30525
,6882.1,195502,216805,63580,23760,50395,95573,22294,42512
,7013.7,201472,229529,60915,13223,36684,92333,900,74802
1994,7115.7,204899,229880,41558,30372,9979,91306,7701,36721
,7246.9,212529,241107,45855,15110,11796,56458,5946,20700
,7331.1,223535,255142,35416,20784,10605,84707,17177,26129
,7455.3,231741,268186,65930,23723,21708,80524,25118,48299
1995,7522.3,241889,273323,68201,22755,15374,100272,13354,54886
,7581,249583,281597,119505,16494,30351,122801,13304,73417
,7683.1,256368,283345,48666,23127,53080,116853,18118,84572
,7772.6,260205,283351,127183,47665,44701,106467,24291,41556
1996,7868.5,264013,291453,80691,24019,38574,84596,28779,80304
,8032.8,267846,297687,70461,17434,27343,102949,18523,60054
,8131.4,267715,303773,93901,25450,45401,145591,17579,97177
,8259.8,281553,312988,179493,36119,48861,225890,32762,154572
1997,8362.7,288243,324323,151415,28230,25801,170932,27311,81647
,8518.8,300684,329482,97000,28731,31607,144069,26997,85502
,8662.8,304792,337509,128150,29980,57950,175372,26628,107999
,8765.9,302096,345221,125461,34413,5678,230624,41212,35957
1998,8866.5,303186,347190,73452,40858,27610,77379,18773,72430
,8969.7,299935,351284,138413,44474,44056,154324,20176,74948
,9121.1,294202,353092,65899,27858,-11139,82572,30869,-2271
,9294,302091,362916,108174,61563,71659,138627,141335,80771
1999,9417.3,310503,371344,91958,75833,-578,115652,36094,34340
,9524.2,318525,386611,187152,54916,70669,252036,145584,48964
,9681.9,331262,408150,132519,73091,46942,165253,59951,111701
,9899.4,343294,425840,114985,43646,23974,232275,70821,83692
2000,10002.9,353244,448184,223563,50891,41619,258877,68189,134402
,10247.7,366876,463742,110016,54744,28526,249439,94544,70703
,10319.8,372930,477864,81030,35801,46849,241430,76345,108863
,10439,376599,483311,173074,44936,42719,316331,110049,127998
2001,10472.9,362220,467504,207846,27033,35356,322801,51179,121347
,10597.8,346678,441371,94625,34706,44656,215244,67715,97661
,10596.3,324934,428146,-32535,44650,-9868,25035,14592,69079
,10660.3,310398,396897,116370,39650,36775,225266,39011,143405
2002,10789,317108,419257,89284,52598,14587,177987,29247,105962
,10893.2,330168,443224,158295,54746,42115,250256,26125,159177
,10992.1,338207,451099,4286,38343,-9506,166057,19651,118453
,11071.5,332832,455526,67311,33303,32336,227543,36031,120563
2003,11183.5,337494,471410,91062,31405,11012,251115,47374,98883
,11312.9,342886,471545,161711,50797,42216,223870,679,192011
,11567.3,353274,483134,8950,48794,13261,139498,8748,82599
,11769.3,373384,499700,109348,64219,66571,297178,60307,176670
2004,11920.2,392213,529275,370353,93658,44589,478154,44671,220812
,12109,402971,559211,180574,85450,53688,344076,45103,223468
,12303.3,412123,571142,184548,67086,46656,291748,51713,162890
,12522.4,430645,609917,323179,127812,47023,486902,72155,260169
2005,12761.3,455571,625080,127684,57311,60613,235663,40352,185008
,12910,461581,640934,236249,55400,61965,321954,8068,160648
,13142.9,473509,659919,205365,-11160,58471,429871,42483,215051
,13332.3,495171,705133,-6315,-48961,86242,289568,51442,271331
2006,13603.9,522359,720562,422650,93762,100461,584586,83296,246292
,13749.8,547543,749890,241570,52775,109822,429395,87355,264826
,13867.5,557046,772815,295380,72142,145027,529618,59673,304112
,14037.2,582209,771853,365007,65121,138056,576880,68141,311505
2007,14208.6,597125,794967,546000,159698,97818,789254,112346,376689
,14382.4,627808,815152,575698,100914,173884,733688,81507,393364
,14535,655753,824475,212345,99779,131122,296129,112537,73339
,14681.5,678645,835773,229416,163498,-22018,371017,40224,313221
2008,14651,689032,869855,249543,103412,26446,471877,104175,234853
,14805.6,713536,889459,-164651,108473,-6532,-2124,84377,222919
,14835.2,711315,885958,-97451,82704,-139775,92230,82850,25970
,14559.5,628376,778377,-305049,48994,-164407,-99575,69689,39941
2009,14394.5,550943,646612,-121619,76362,71200,-112649,3800,95940
,14352.9,548527,634863,-26965,87143,138043,-14465,53584,71704
,14420.3,574092,665105,314966,92285,144273,343183,62513,72049
,14628,609499,709002,-35307,56806,22368,109576,41185,117659
2010,14721.4,623287,728927,254141,97926,78773,317091,41688,187308
,14926.1,643406,754750,160499,68413,-1863,185182,35247,131528
2010,15079.9,660914,776213,304297,102270,49064,554662,103893,328881
,15240.8,696383,795366,239766,81219,73645,334106,83211,172716
2011,15285.8,716765,832612,387970,128831,115962,594760,71095,149211
,15496.2,744219,861489,-1384,141047,69344,127070,75940,105650
,15591.9,761257,866049,80273,66483,-43647,247801,58914,77147
,15796.5,759305,867060,25671,100255,-56295,13892,57550,-20383
2012,16019.8,768045,883536,-77451,110331,2218,188802,47831,249786
,16152.3,769890,881469,-176252,87672,54810,-125446,91807,7887
,16257.2,776309,876969,289213,79687,131686,295970,42415,222636
