observation_date,CPI,IP,MB,M1,M2
5/1/1995,152.1,73.6079,448.642,1145.3,3524.2
6/1/1995,152.4,73.8595,448.699,1144.2,3548.9
7/1/1995,152.6,73.5675,449.192,1145.5,3567.4
8/1/1995,152.9,74.4969,450.953,1145.4,3589
9/1/1995,153.1,74.7941,451.922,1142,3602.1
10/1/1995,153.5,74.7015,453.234,1137.3,3613.4
11/1/1995,153.7,74.8864,453.333,1134.1,3619.9
12/1/1995,153.9,75.1739,455.109,1127.5,3629.5
1/1/1996,154.7,74.6833,456.905,1123.5,3647.9
2/1/1996,155,75.8433,455.39,1118.5,3661.9
3/1/1996,155.5,75.7631,459.73,1122.6,3687
4/1/1996,156.1,76.4596,460.272,1124.8,3697.8
5/1/1996,156.4,77.0169,462.094,1116.5,3709.7
6/1/1996,156.7,77.6676,464.418,1115.2,3722.7
7/1/1996,157,77.5653,467.196,1112.4,3737.3
8/1/1996,157.2,78.0121,469.842,1101.6,3744.3
9/1/1996,157.7,78.5488,472.09,1096.2,3753.7
10/1/1996,158.2,78.506,473.726,1085.7,3771
11/1/1996,158.7,79.1955,475.518,1083.5,3790.2
12/1/1996,159.1,79.7144,479.042,1081.3,3810.5
1/1/1997,159.4,79.8239,480.873,1081.2,3824.8
2/1/1997,159.7,80.7816,483.285,1078.8,3836.4
3/1/1997,159.8,81.3388,485.066,1072.5,3851.3
4/1/1997,159.9,81.3611,488.015,1063.9,3867.4
5/1/1997,159.9,81.8326,489.756,1063.8,3879.2
6/1/1997,160.2,82.2309,490.995,1066.1,3896
7/1/1997,160.4,82.85,494.528,1065.5,3913.9
8/1/1997,160.8,83.7172,497.406,1075.3,3947.5
9/1/1997,161.2,84.4629,499.075,1066.9,3963.2
10/1/1997,161.5,85.1968,502.162,1065.6,3982.3
11/1/1997,161.7,85.9458,506.079,1070.9,4004.8
12/1/1997,161.8,86.2054,509.573,1072.3,4023
1/1/1998,162,86.6558,512.028,1074,4046.3
2/1/1998,162,86.7556,513.839,1077.8,4079
3/1/1998,162,86.8196,517.004,1076.9,4104.6
4/1/1998,162.2,87.1345,519.258,1076.5,4130.3
5/1/1998,162.6,87.6936,519.728,1079.1,4154.2
6/1/1998,162.8,87.1421,522.705,1076.3,4174.1
7/1/1998,163.2,86.8414,523.199,1075.1,4193.8
8/1/1998,163.4,88.6266,526.6,1075.9,4218.8
