xDatex,PUS,PMX,RUS,RMX
Oct-97,161.5,32.456941000000,5.50,16.56
Nov-97,161.7,32.820042000000,5.52,17.74
Dec-97,161.8,33.279875000000,5.50,17.79
Jan-98,162,34.003924000000,5.56,16.98
Feb-98,162,34.599238000000,5.51,17.03
Mar-98,162,35.004533000000,5.49,17.37
Apr-98,162.2,35.332042000000,5.45,17.66
May-98,162.6,35.613481000000,5.49,16.85
Jun-98,162.8,36.034420000000,5.56,17.24
Jul-98,163.2,36.381878000000,5.54,17.75
Aug-98,163.4,36.731632000000,5.55,19.05
Sep-98,163.5,37.327376000000,5.51,27.54
Oct-98,163.9,37.862269000000,5.07,29.28
Nov-98,164.1,38.532786000000,4.83,27.76
Dec-98,164.4,39.472974000000,4.68,28.56
Jan-99,164.7,40.469770000000,4.63,28.31
Feb-99,164.7,41.013643000000,4.76,26.90
Mar-99,164.8,41.394684000000,4.81,22.84
Apr-99,165.9,41.774577000000,4.74,19.16
May-99,166,42.025877000000,4.74,17.82
Jun-99,166,42.302006000000,4.76,18.62
Jul-99,166.7,42.581580000000,4.99,18.08
Aug-99,167.1,42.821255000000,5.07,18.17
Sep-99,167.8,43.235018000000,5.22,17.94
Oct-99,168.1,43.508851000000,5.20,17.25
Nov-99,168.4,43.895776000000,5.42,16.26
Dec-99,168.8,44.335516000000,5.30,15.42
Jan-00,169.3,44.930830000000,5.45,15.29
Feb-00,170,45.329380000000,5.73,15.18
Mar-00,171,45.580681000000,5.85,13.67
Apr-00,170.9,45.840018000000,6.02,12.48
May-00,171.2,46.011379000000,6.27,12.51
Jun-00,172.2,46.283920000000,6.53,13.53
Jul-00,172.7,46.464466000000,6.54,12.98
Aug-00,172.7,46.719785000000,6.50,13.05
Sep-00,173.6,47.061072000000,6.52,13.29
Oct-00,173.9,47.385136000000,6.51,13.51
Nov-00,174.2,47.790288000000,6.51,14.44
Dec-00,174.6,48.307671000000,6.40,14.39
1-Jan,175.6,48.575476000000,5.98,14.66
1-Feb,176,48.543328000000,5.49,14.63
1-Mar,176.1,48.850888000000,5.31,14.08
1-Apr,176.4,49.097309000000,4.80,13.32
1-May,177.3,49.209970000000,4.21,11.79
1-Jun,177.7,49.326364000000,3.97,9.47
1-Jul,177.4,49.198202000000,3.77,8.24
1-Aug,177.4,49.489688000000,3.65,7.45
1-Sep,178.1,49.950381000000,3.07,7.52
1-Oct,177.6,50.176135000000,2.49,7.89
1-Nov,177.5,50.365149000000,2.09,6.58
1-Dec,177.4,50.434899000000,1.82,5.81
2-Jan,177.7,50.900472000000,1.73,5.52
2-Feb,178,50.867750000000,1.74,6.01
2-Mar,178.5,51.127948000000,1.73,5.82
2-Apr,179.3,51.407235000000,1.75,4.86
2-May,179.5,51.511429000000,1.75,5.02
2-Jun,179.6,51.762586000000,1.75,5.37
2-Jul,180,51.911181000000,1.73,5.56
2-Aug,180.5,52.108560000000,1.74,5.05
2-Sep,180.8,52.421984000000,1.75,5.17
2-Oct,181.2,52.653036000000,1.75,5.48
2-Nov,181.5,53.078877000000,1.34,5.37
2-Dec,181.8,53.309930000000,1.24,5.13
3-Jan,182.6,53.525441000000,1.24,5.37
3-Feb,183.6,53.674122000000,1.26,6.26
3-Mar,183.9,54.012930000000,1.25,6.38
3-Apr,183.2,54.105144000000,1.26,5.89
3-May,182.9,53.930560000000,1.26,4.37
3-Jun,183.1,53.975112000000,1.22,3.91
3-Jul,183.7,54.053339000000,1.01,3.59
3-Aug,184.5,54.215490000000,1.03,3.33
3-Sep,185.1,54.538238000000,1.01,3.34
3-Oct,184.9,54.738207000000,1.01,3.59
3-Nov,185,55.192542000000,1.00,3.48
3-Dec,185.5,55.429811000000,0.98,3.91
4-Jan,186.3,55.774317000000,1.00,3.67
4-Feb,186.7,56.107945000000,1.01,3.64
4-Mar,187.1,56.298071000000,1.00,4.19
4-Apr,187.4,56.383032000000,1.00,4.12
4-May,188.2,56.241603000000,1.00,4.30
4-Jun,188.9,56.331745000000,1.03,4.41
4-Jul,189.1,56.479390000000,1.26,4.59
4-Aug,189.2,56.828041000000,1.43,4.77
4-Sep,189.8,57.297917000000,1.61,5.03
4-Oct,190.8,57.694747000000,1.76,5.26
4-Nov,191.7,58.186899000000,1.93,5.63
4-Dec,191.7,58.307088000000,2.16,5.84
5-Jan,191.6,58.309160000000,2.28,5.85
5-Feb,192.4,58.503431000000,2.50,6.08
5-Mar,193.1,58.767121000000,2.63,6.39
5-Apr,193.7,58.976415000000,2.79,6.61
5-May,193.6,58.828251000000,3.00,6.78
5-Jun,193.7,58.771783000000,3.04,6.71
5-Jul,194.9,59.001800000000,3.26,6.72
5-Aug,196.1,59.072255000000,3.50,6.84
5-Sep,198.8,59.309006000000,3.62,6.71
5-Oct,199.1,59.454580000000,3.78,6.62
5-Nov,198.1,59.882493000000,4.00,6.38
5-Dec,198.1,60.250312000000,4.16,5.89
6-Jan,199.3,60.603626000000,4.29,5.73
6-Feb,199.4,60.696358000000,4.49,5.57
6-Mar,199.7,60.772512000000,4.59,5.50
6-Apr,200.7,60.861617000000,4.79,5.22
6-May,201.3,60.590675000000,4.94,5.09
6-Jun,201.8,60.642998000000,4.99,5.08
6-Jul,202.9,60.809294000000,5.24,4.95
6-Aug,203.8,61.119609000000,5.25,4.97
6-Sep,202.8,61.736612000000,5.25,4.89
6-Oct,201.9,62.006519000000,5.25,4.92
6-Nov,202,62.331857000000,5.25,4.94
6-Dec,203.1,62.692424000000,5.24,4.82
7-Jan,203.437,63.016208000000,5.25,4.83
7-Feb,204.226,63.192347000000,5.26,4.82
7-Mar,205.288,63.329113000000,5.26,4.92
7-Apr,205.904,63.291295000000,5.25,4.86
7-May,206.755,62.982534000000,5.25,4.92
7-Jun,207.234,63.058170000000,5.25,5.01
7-Jul,207.603,63.326005000000,5.26,5.03
7-Aug,207.667,63.583996000000,5.02,5.05
